Plotting labels...
[34m[1mautoanchor: [39m[22mAnalyzing anchors... anchors/target = 5.53, Best Possible Recall (BPR) = 1.0000
                 all         32        145      0.952      0.965      0.978      0.828
                 all         32        145      0.959      0.959      0.981      0.831
                 all         32        145      0.959      0.959      0.981      0.843
                 all         32        145      0.972      0.945      0.984      0.846
                 all         32        145      0.972      0.945      0.983       0.84
                 all         32        145      0.972      0.945      0.983      0.853
                 all         32        145      0.965      0.952      0.981      0.841
                 all         32        145      0.972      0.952      0.982      0.847
                 all         32        145      0.979      0.945      0.982      0.844
                 all         32        145      0.972      0.945      0.985      0.841
                 all         32        145      0.972      0.945      0.986      0.837
                 all         32        145      0.958      0.952      0.986      0.849
                 all         32        145      0.965      0.952      0.986      0.848
                 all         32        145      0.965      0.952      0.986      0.847
Optimizer stripped from runs/train/exp30/weights/last.pt, 42.4MB
Optimizer stripped from runs/train/exp30/weights/best.pt, 42.4MB
Overriding model.yaml nc=5 with nc=1
                 from  n    params  module                                  arguments
  0                -1  1      5280  models.common.Focus                     [3, 48, 3]
  1                -1  1     41664  models.common.Conv                      [48, 96, 3, 2]
  2                -1  2     65280  models.common.C3                        [96, 96, 2]
  3                -1  1    166272  models.common.Conv                      [96, 192, 3, 2]
  4                -1  6    629760  models.common.C3                        [192, 192, 6]
  5                -1  1    664320  models.common.Conv                      [192, 384, 3, 2]
  6                -1  6   2512896  models.common.C3                        [384, 384, 6]
  7                -1  1   2655744  models.common.Conv                      [384, 768, 3, 2]
  8                -1  1   1476864  models.common.SPP                       [768, 768, [5, 9, 13]]
  9                -1  2   4134912  models.common.C3                        [768, 768, 2, False]
 10                -1  1    295680  models.common.Conv                      [768, 384, 1, 1]
 11                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']
 12           [-1, 6]  1         0  models.common.Concat                    [1]
 13                -1  2   1182720  models.common.C3                        [768, 384, 2, False]
 14                -1  1     74112  models.common.Conv                      [384, 192, 1, 1]
 15                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']
